dur,trnspt,srvs,flag_n,flag_arst,flag_uc,flag_sign,flag_synrst,flag_a,flag_othr,src_pkts,dst_pkts,urg_bits,push_pkts,no_lnkd,arp,src_ttl,dst_ttl,pkts_dirctn,src_byts,dst_byts,src_avg_byts,dst_avg_byts,strt_t,end_t,dst_host_count,host_dst _count,rtt_first_ack,rtt_avg,avg_t_sent,avg_t_got,repeated,fst_src_sqc,fst_dst_sqc,src_re,dst_re,src_fast_re,dst_fast_re,ovrlp_count,long_frag_count,dns_ratio,avg_rr,http_rqsts_count,http_redirct_count,http_clnt_error_count,http_srv_error_count,Class name,Class binary
15.289932,6,139,0,0,0,0,0,1,0,13,11,0,18,175,0,128,128,2,1691,1745,130.0769231,158.6363636,6685.5189,6700.808832,2,176,0.000306,0.008500208,6690.239541,6689.69061,0,1285644255,1989507083,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
15128,256,0,0,0,0,0,0,0,0,30244,0,0,0,0,2,0,0,1,1270248,0,42,0,55519,70647,1,0,0,0,1.999230493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARP poisoning,0
0.416567,17,5355,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,132,0,66,0,15128.01542,15128.43198,0,0,0,0,15128.2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000669,17,53,0,0,0,0,0,0,0,1,1,0,0,94,0,127,128,2,71,87,71,87,60395.429,60395.42967,0,1791,0,0,60395.429,60395.42967,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Normal,1
0.145486,17,53,0,0,0,0,0,0,0,2,1,0,0,317,0,128,64,2,164,179,82,179,48.007487,48.076523,10,317,0,0,51146.92355,51147.06904,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,Normal,1
0.008159,6,88,0,0,0,0,1,0,0,4,4,0,2,68,0,128,128,2,1532,1544,383,386,79898.1287,79898.13686,0,1616,0.000575,0.000995875,79898.13095,79898.13477,0,314132212,735514823,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
13.204622,6,139,0,0,0,0,0,1,0,13,11,0,18,93,0,128,128,2,1679,1685,129.1538462,153.1818182,85215.6137,85228.81832,2,1791,0.000414,0.009419542,85219.69534,85219.21738,0,3682723203,3093150601,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
12.268893,6,445,0,0,1,0,0,0,0,15,13,0,18,128,0,127,128,2,4660,2458,310.6666667,189.0769231,51961.74716,51974.01606,0,1664,0.00019,0.000264393,51965.02189,51964.58209,0,1604970323,786906782,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
1230.038023,17,80,0,0,0,0,0,0,0,12940,0,0,0,1560,0,128,0,1,571301,0,113.0921168,0,3267,4497.038023,0,0,0,0,3267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UDP data flood,0
0.000479,17,389,0,0,0,0,0,0,0,1,1,0,0,144,0,127,128,2,197,200,197,200,46997.29231,46997.29278,0,1791,0,0,46997.29231,46997.29278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
36204,256,0,0,0,0,0,0,0,0,72380,0,0,0,0,2,0,0,1,3039960,0,42,0,27213,63417,1,0,0,0,1.999230493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARP poisoning,0
13.866072,6,139,0,0,0,0,0,1,0,13,11,0,18,175,0,128,128,2,1691,1745,130.0769231,158.6363636,56366.93715,56380.80323,2,176,0.000308,0.008555875,56371.22052,56370.72093,0,2000986343,4015921533,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
2759,6,80,0,0,0,0,1,0,0,8277,4138.5,0,8274,2541,0,128,127,2,2044419,807007.5,2325,1839.333333,549,3308,0,2542,0.001448,0.069759849,1928.5,1928.5,0,36394482,169292451,0,0,0,0,0,0,0,0,4138,4136,0,1,Mass HTTP requests,0
7259,256,0,0,0,0,0,0,0,0,14512,0,0,0,0,2,0,0,1,609504,0,42,0,26676,33935,1,0,0,0,1.999230488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARP poisoning,0
0,17,53,0,0,0,0,0,0,0,1,0,0,0,0,0,128,0,1,80,0,80,0,35469.85101,35469.85101,1792,0,0,0,35469.85101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0,6,453,0,0,0,1,0,0,0,1,0,0,0,0,0,128,0,1,66,0,66,0,49.555218,49.555218,0,0,0,0,49.555218,0,0,222592960,0,0,0,0,0,0,0,0,0,0,0,0,0,Port scanning,0
0.534787,17,53,0,0,0,0,0,0,0,2,1,0,0,317,0,128,64,2,148,202,74,202,36.658619,36.700716,10,317,0,0,55230.50731,55231.0421,0,0,0,0,0,0,0,0,0,0.5,8,0,0,0,0,Normal,1
14.896696,6,135,1,0,0,0,0,0,0,9,6,0,6,29,0,127,128,2,994,884,110.4444444,147.3333333,23325.78204,23340.67873,0,1664,0.000153,0.0278984,23329.23004,23330.81626,0,3710121978,497384957,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0,17,53,0,0,0,0,0,0,0,1,0,0,0,0,0,128,0,1,84,0,84,0,75669.09732,75669.09732,1617,0,0,0,75669.09732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000974,17,389,0,0,0,0,0,0,0,1,1,0,0,168,0,128,128,2,240,200,240,200,33293.46471,33293.46568,2,1791,0,0,33293.46471,33293.46568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000724,17,389,0,0,0,0,0,0,0,1,1,0,0,124,0,127,128,2,232,200,232,200,59271.4473,59271.44803,2,1791,0,0,59271.4473,59271.44803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
93.20501,6,49211,0,0,0,0,0,1,0,18,12,0,18,0,0,128,128,2,1021,1121,56.6655,84.7947941,9984.935561,10078.14057,0,0,0.004378,0.026558,10031.53807,10033.03146,0,1166243609,1627517067,0,0,0,0,0,0,0,0,0,0,0,0,Metasploit exploits,0
12.326532,6,445,1,0,0,0,0,0,0,15,13,0,18,124,0,127,128,2,4661,2459,310.7333333,189.1538462,3152.423416,3164.749948,2,1791,0.000201,0.000264321,3155.713264,3155.271367,0,1569106887,3188373263,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.00056,17,389,0,0,0,0,0,0,0,1,1,0,0,135,0,128,128,2,196,200,196,200,68509.68222,68509.68278,0,1664,0,0,68509.68222,68509.68278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.003955,6,88,0,0,0,0,1,0,0,5,5,0,2,81,0,127,128,2,1746,1712,349.2,342.4,313.045834,313.049789,0,1664,0.000156,0.0001605,313.0468492,313.0481236,0,3859146804,1258096797,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
2.851717,6,80,0,0,1,0,0,0,0,6,3,0,4,0,0,127,128,2,1182,1698,197,566,40678.95153,40681.80325,0,1616,0.000247,0.031637222,52381.05851,52379.93953,0,3122666850,4031853964,0,0,0,0,0,0,0,0,2,1,1,0,Normal,1
0.004352,6,88,0,0,0,0,1,0,0,4,5,0,2,68,0,128,128,2,2520,398,630,79.6,5216.961841,5216.966193,0,1616,0.000984,0.000328444,5216.963334,5216.96499,0,1653118021,3334177152,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
15.572634,6,445,0,0,1,0,0,0,0,11,9,0,14,122,0,128,128,2,4159,1683,378.0909091,187,41135.81954,41151.39217,0,1664,0.000664,0.0112595,41140.08848,41139.28293,0,1878892421,2184503882,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
14.981895,6,135,1,0,0,0,0,0,0,7,5,0,4,29,0,128,128,2,674,634,96.28571429,126.8,63351.90801,63366.88991,0,1664,0.000599,0.016771167,63356.21736,63357.90172,0,1366211264,662331798,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.003089,6,88,0,0,0,0,1,0,0,4,4,0,2,81,0,127,128,2,1522,1550,380.5,387.5,34513.79665,34513.79974,0,1664,0.000247,0.000367125,34513.79771,34513.79869,0,1348319220,915931122,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000533,17,53,0,0,0,0,0,0,0,1,1,0,0,192,0,128,128,2,77,93,77,93,36206.39139,36206.39193,2,1791,0,0,36206.39139,36206.39193,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Normal,1
0.408844,17,5355,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,128,0,64,0,10474.68156,10475.09041,1617,0,0,0,10474.88598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
9.093199,6,445,0,0,0,0,1,0,0,12,6,0,5,21,0,128,128,2,1694,84,154,8.4,1284.349144,1293.442343,1,23,0.000182,0.000704,1284.369722,1285.878837,0,2933183684,2346708088,0,0,0,0,0,0,0,0,0,0,0,0,Metasploit exploits,0
14.214741,6,139,0,0,0,0,0,1,0,12,10,0,16,175,0,128,128,2,1653,1690,137.75,169,42686.59199,42700.80673,2,176,0.000397,0.009585818,42691.34834,42690.85807,0,905136,2137335023,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
1028,6,80,0,0,0,0,1,0,0,3084,1542,0,3081,4650,0,128,127,2,761748,300690,866.2921348,685.3333333,3068,4096,0,4651,0.001448,0.069759849,3582,3582,0,142431303,144378167,0,0,0,0,0,0,0,0,1542,1541,0,0,Mass HTTP requests,0
9643.872272,256,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,126,0,42,0,39116.04511,48759.91738,1,0,0,0,3214.624091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
86169.50168,256,0,0,0,0,0,0,0,0,504,0,0,0,0,2,0,0,1,21168,0,42,0,6.81029,86176.31197,1,0,0,0,170.9712335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
12.474714,6,445,1,0,0,0,0,0,0,15,13,0,18,124,0,127,128,2,4661,2459,310.7333333,189.1538462,22057.34537,22069.82008,2,1791,0.000408,0.000350679,22060.67522,22060.22815,0,1437234346,4181440793,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
3277,6,80,0,0,0,0,1,0,0,9831,4915.5,0,9828,8203,0,128,127,2,2428257,958522.5,2761.516854,2184.666667,1484,4761,0,8204,0.001448,0.069759849,3122.5,3122.5,0,138942101,84802885,0,0,0,0,0,0,0,0,4915,4914,0,0,Mass HTTP requests,0
0.642726,6,389,0,0,0,0,1,0,0,10,9,0,9,132,0,128,128,2,3157,4764,315.7,529.3333333,68431.17655,68431.81927,0,1616,0.000383,0.017523526,68431.35816,68431.34487,0,315192612,3290648085,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
34.885104,6,49155,1,0,0,0,0,0,0,11,9,0,10,27,0,127,128,2,3163,1564,287.5454545,173.7777778,14647.68559,14682.5707,0,1664,0.000248,0.0100299,14654.04948,14655.44173,0,1860722777,2907366844,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000796,17,389,0,0,0,0,0,0,0,1,1,0,0,136,0,127,128,2,232,200,232,200,56425.9714,56425.9722,1,1616,0,0,56425.9714,56425.9722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
14.528812,6,139,0,0,0,0,0,1,0,12,10,0,16,175,0,128,128,2,1653,1690,137.75,169,32606.28668,32620.81549,2,176,0.000484,0.0097565,32611.14866,32610.64741,0,2091162345,4101129541,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
11.463497,6,445,0,0,0,0,0,1,0,12,9,0,14,123,0,127,128,2,4213,1683,351.0833333,187,83795.8831,83807.3466,0,1791,0.000372,0.010227571,83798.7708,83798.43613,0,2157082454,3132369618,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
8.945564,6,445,0,0,0,0,1,0,0,7,4,0,3,21,0,128,128,2,988,49,89.81818183,4.9,2508.680604,2517.626168,1,23,0.000618,0.000545,2508.701182,2508.764297,0,556584954,1167950890,0,0,0,0,0,0,0,0,0,0,0,0,Metasploit exploits,0
14.214847,6,139,0,0,0,0,0,1,0,12,10,0,16,175,0,128,128,2,1653,1690,137.75,169,43406.60201,43420.81686,2,176,0.000407,0.009971591,43411.35943,43410.86821,0,2039669225,867165931,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0,17,53,0,0,0,0,0,0,0,1,0,0,0,0,0,128,0,1,84,0,84,0,3004.154759,3004.154759,1617,0,0,0,3004.154759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0,17,53,0,0,0,0,0,0,0,1,0,0,0,0,0,128,0,1,93,0,93,0,40315.30745,40315.30745,1617,0,0,0,40315.30745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
6.47E-02,6,443,0,0,0,0,0,1,0,2,0,0,0,0,0,128,0,1,108,0,54,0,2.200094,2.200123,10,0,0,0,56212.93532,56213.00003,0,18155704,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0,6,85,0,0,0,1,0,0,0,1,0,0,0,0,0,128,0,1,66,0,66,0,9.601073,9.601073,0,0,0,0,9.601073,0,0,2638713697,0,0,0,0,0,0,0,0,0,0,0,0,0,Port scanning,0
0,6,590,0,0,0,1,0,0,0,1,0,0,0,0,0,128,0,1,66,0,66,0,64.555079,64.555079,0,0,0,0,64.555079,0,0,3012645407,0,0,0,0,0,0,0,0,0,0,0,0,0,Port scanning,0
349,6,3000,0,0,0,0,0,1,0,688,479,0,688,1,0,128,64,2,200326,112727,291.3565792,212.511393,0,98.834715,0,7,0.004136276,0.004635959,208.004,173.453,0,2258859989,2577627238,0,0,0,0,0,0,0,0,344,0,0,0,BeEF HTTP exploits,0
12.707059,6,139,1,0,0,0,0,0,0,12,10,0,16,239,0,128,128,2,1653,1690,137.75,169,25956.87128,25969.57834,0,239,0.000395,0.009661409,25961.12549,25960.68509,0,3579876806,2814066917,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000564,17,389,0,0,0,0,0,0,0,1,1,0,0,132,0,128,128,2,196,200,196,200,17583.52423,17583.52479,0,1616,0,0,17583.52423,17583.52479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.003097,6,88,0,0,0,0,1,0,0,4,4,0,2,68,0,128,128,2,1633,1626,408.25,406.5,20811.3762,20811.3793,0,1616,0.000578,0.000380375,20811.37715,20811.37849,0,1554622819,1909828917,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000337,17,53,0,0,0,0,0,0,0,1,1,0,0,91,0,127,128,2,113,171,113,171,22556.45692,22556.45726,0,1616,0,0,22556.45692,22556.45726,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Normal,1
3499,6,3000,0,0,0,0,0,1,0,6902,4812,0,6902,1,0,128,64,2,2008426,1130177,291.5410358,229.4663033,0,98.834715,0,1,0.00082165,0.002584683,2085.404,1739.003,0,2258859989,2577627238,0,0,0,0,0,0,0,0,3450,0,0,0,BeEF HTTP exploits,0
0.987721,17,53,0,0,0,0,0,0,0,2,1,0,0,317,0,128,64,2,162,188,81,188,40.891572,41.031473,10,317,0,0,56254.15218,56255.1399,0,0,0,0,0,0,0,0,0,0.5,5,0,0,0,0,Normal,1
0.000806,17,53,0,0,0,0,0,0,0,1,1,0,0,159,0,128,128,2,77,93,77,93,53317.48594,53317.48675,0,1616,0,0,53317.48594,53317.48675,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Normal,1
1825,256,0,0,0,0,0,0,0,0,3648,0,0,0,0,2,0,0,1,153216,0,42,0,73348,75173,1,0,0,0,1.999230493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARP poisoning,0
0.000814,17,53,0,0,0,0,0,0,0,1,1,0,0,178,0,128,128,2,82,140,82,140,7092.803305,7092.804119,0,1664,0,0,7092.803305,7092.804119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Normal,1
20.906247,6,80,0,0,1,0,0,0,0,5,3,0,2,0,0,128,127,2,781,316,156.2,105.3333333,43589.96758,43610.87383,0,0,0.001454,0.032789375,52342.34062,52339.87393,0,1253091210,1919773504,0,0,0,0,0,0,0,0,1,1,0,0,Normal,1
45984,256,0,0,0,0,0,0,0,0,91932,0,0,0,0,2,0,0,1,3861144,0,42,0,9601,55585,1,0,0,0,1.999230493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARP poisoning,0
0.532745,6,389,0,0,0,0,0,1,0,8,7,0,7,168,0,128,128,2,2698,2255,337.25,322.1428571,79504.53217,79505.06492,2,1791,0.000372,0.015196333,79504.69775,79504.69041,0,1398552218,1953368823,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
14.044109,6,139,0,0,0,0,0,1,0,12,10,0,16,93,0,128,128,2,1641,1666,136.75,166.6,80894.77056,80908.81467,2,1791,0.000296,0.009074636,80899.4693,80898.98538,0,3553402347,3228284298,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0,17,53,0,0,0,0,0,0,0,1,0,0,0,0,0,128,0,1,77,0,77,0,48735.88927,48735.88927,1792,0,0,0,48735.88927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
96.118294,6,80,0,0,0,0,1,0,0,3,2,0,0,2002,0,128,127,2,174,120,58,60,1374.129695,1470.247989,0,2003,0.000461,0.0033108,1406.163974,1422.189073,0,1549701145,2767992614,0,0,0,0,0,0,0,0,0,0,0,0,TCP flood,0
0,6,549,0,0,0,1,0,0,0,1,0,0,0,0,0,128,0,1,66,0,66,0,60.059169,60.059169,0,0,0,0,60.059169,0,0,3435324100,0,0,0,0,0,0,0,0,0,0,0,0,0,Port scanning,0
0.0004,17,389,0,0,0,0,0,0,0,1,1,0,0,136,0,127,128,2,231,200,231,200,32301.72507,32301.72547,1,1616,0,0,32301.72507,32301.72547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.028071,6,389,0,0,0,0,0,1,0,7,7,0,7,168,0,128,128,2,2359,900,337,128.5714286,55251.05278,55251.08085,2,1791,0.000313,0.001873214,55251.06189,55251.06322,0,3746769515,406704005,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
64.482611,6,49155,1,0,0,0,0,0,0,18,15,0,20,26,0,127,128,2,6116,2918,339.7777778,194.5333333,15505.28526,15569.76787,0,1616,0.00021,0.015324424,15524.0248,15525.76288,0,2867382023,1112605100,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
0.000901,17,389,0,0,0,0,0,0,0,1,1,0,0,150,0,127,128,2,197,200,197,200,62675.18662,62675.18752,0,1664,0,0,62675.18662,62675.18752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
1281,6,80,0,0,0,0,1,0,0,3843,1921.5,0,3840,7224,0,128,127,2,949221,374692.5,1079.494382,854,3597,4878,0,7225,0.001448,0.069759849,4237.5,4237.5,0,34159210,22677531,0,0,0,0,0,0,0,0,1921,1920,0,0,Mass HTTP requests,0
31.255432,6,445,0,0,1,0,0,0,0,21,15,0,26,123,0,127,128,2,5904,2991,281.1428571,199.4,36835.6803,36866.93573,0,1664,0.000179,0.018447333,36843.27672,36842.02084,0,880830360,4169052345,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
13.562792,6,445,1,0,0,0,0,0,0,12,9,0,14,123,0,127,128,2,4213,1683,351.0833333,187,26194.80233,26208.36512,0,1791,0.000381,0.010254333,26198.2128,26197.81925,0,2293541836,1668792061,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
11.991869,6,135,0,0,1,0,0,0,0,7,5,0,4,31,0,128,128,2,718,562,102.5714286,112.4,85407.13868,85419.13055,2,1791,0.000468,0.017163833,85410.59364,85411.9354,0,2695406728,523213374,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
2439.163498,17,80,0,0,0,0,0,0,0,25660,0,0,0,434,0,128,0,1,1132889,0,224.2614927,0,986,3425.163498,0,434,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UDP data flood,0
15.839131,6,445,0,0,1,0,0,0,0,11,9,0,14,122,0,128,128,2,4159,1683,378.0909091,187,55593.74571,55609.58484,0,1616,0.000782,0.01095025,55598.08688,55597.26852,0,2150307696,3024817551,0,0,0,0,0,0,0,0,0,0,0,0,Normal,1
